device_id,device_name,device_type_id,location_id,installation_date,power_rating_max,voltage_standard,manufacturer,model,serial_number,status,last_maintenance_date,next_maintenance_date,created_at,updated_at
1,Smart Meter 001,1,1,2023-01-15,5000,220,ABB,ABB-5000,SM001-2023-001,active,2023-12-01,2024-06-01,2023-01-15 10:00:00,2023-12-01 15:30:00
2,Solar Panel 001,2,1,2023-02-01,3000,220,SunPower,SP-3000,SP001-2023-001,active,2023-11-15,2024-05-15,2023-02-01 09:00:00,2023-11-15 14:00:00
3,Wind Turbine 001,3,2,2023-03-01,1500,380,Vestas,V-1500,WT001-2023-001,active,2023-10-01,2024-04-01,2023-03-01 11:00:00,2023-10-01 16:00:00
4,Battery Storage 001,4,1,2023-04-01,4000,220,Tesla,T-4000,BS001-2023-001,active,2023-09-01,2024-03-01,2023-04-01 08:00:00,2023-09-01 13:00:00
5,EV Charger 001,5,1,2023-05-01,7000,220,ChargePoint,CP-7000,EV001-2023-001,active,2023-08-01,2024-02-01,2023-05-01 12:00:00,2023-08-01 17:00:00
6,Heat Pump 001,6,3,2023-06-01,12000,380,Carrier,C-12000,HP001-2023-001,active,2023-07-01,2024-01-01,2023-06-01 10:00:00,2023-07-01 15:00:00
7,Industrial Motor 001,7,4,2023-07-01,40000,380,Siemens,S-40000,IM001-2023-001,active,2023-06-01,2023-12-01,2023-07-01 09:00:00,2023-06-01 14:00:00
8,LED Lighting 001,8,1,2023-08-01,800,220,Philips,P-800,LL001-2023-001,active,2023-05-01,2023-11-01,2023-08-01 11:00:00,2023-05-01 16:00:00
9,Smart Thermostat 001,9,1,2023-09-01,400,220,Nest,N-400,ST001-2023-001,active,2023-04-01,2023-10-01,2023-09-01 08:00:00,2023-04-01 13:00:00
10,Energy Monitor 001,10,1,2023-10-01,8000,220,Schneider,S-8000,EM001-2023-001,active,2023-03-01,2023-09-01,2023-10-01 12:00:00,2023-03-01 17:00:00
